Sno,Medicine Name,Doses Prescribed,Expiry Date ,Generic Information
1,Abacavir,3,02-09-2024,"Abacavir (brand name: Ziagen) isÿa prescription medicine approved by the U.S. Food and Drug Administration (FDA) for the treatment of HIV infection in adults, children, and infants. Abacavir is always used in combination with other HIV medicines."
2,Paracetamol,5,03-10-2024,"Paracetamol isÿa commonly used medicine that can help treat pain and reduce a high temperature (fever). It's typically used to relieve mild or moderate pain, such as headaches, toothache or sprains, and reduce fevers caused by illnesses such as colds and flu"
3,Ibuprofen,2,04-12-2024,"Ibuprofen isÿused to relieve pain from various conditions such as headache, dental pain, menstrual cramps, muscle aches, or arthritis. It is also used to reduce fever and to relieve minor aches and pain due to the common cold or flu. Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID)."
4,Indinavir,4,05-10-2024,"Indinavir is in a class of medications called protease inhibitors. It works by decreasing the amount of HIV in the blood. Although indinavir does not cure HIV, it may decrease your chance of developing acquired immunodeficiency syndrome (AIDS) and HIV-related illnesses such as serious infections or cancer"
5,Inotersen,1,06-05-2024,Inotersen injection isÿused to treat polyneuropathy (nerve disease) of hereditary transthyretin-mediatedÿamyloidosis. This medicine is available only under a restricted distribution program called Tegsedi? REMS (Risk Evaluation and Mitigation Strategy) Program.
6,Benadryl,4,07-05-2024,"Benadryl isÿa prescription medicine used to treat the symptoms of allergic reactions, insomnia, and motion sickness. Benadryl may be used alone or with other medications. Benadryl belongs to a class of drugs called Antihistamines, 1st Generation, Antiemetic Agents."
7,Dolo-650,1,08-10-2024,"Dolo 650 is a brand name, and it has 650 MG of paracetamol is also called Acetaminophen. It comes under non-steroidal anti-inflammatory drugs (NSAIDs) drug class. Paracetamol has antipyretic and analgesic, which helps in decreasing fever and pain, and it has a minimal anti-inflammatory action."
8,Ranitidine,4,19-11-2024,"Ranitidine isÿa histamine H2 antagonist used to treat duodenal ulcers, Zollinger-Ellison syndrome, gastric ulcers, GERD, and erosive esophagitis. Ranitidine is a commonly used drug, classified as a histamine H2-receptor antagonist, and belongs to the same drug class as cimetidine and famotidine."
9,Piriton,1,13-11-2024,"Piriton tablets are indicated for symptomatic control of all allergic conditions responsive to antihistamines, including hay fever, vasomotor rhinitis, urticaria, angioneurotic oedema, food allergy, drug and serum reactions, insect bites."
10,Loratidine ,3,18-11-2024,"Loratadine isÿused to temporarily relieve the symptoms of hay fever (allergy to pollen, dust, or other substances in the air) and other allergies. These symptoms include sneezing, runny nose, and itchy eyes, nose, or throat. Loratadine is also used to treat itching and redness caused by hives"
